config,epochs,eternia_epoch_s,old_epoch_s,speedup,e0_acc,e2_acc,peak_gpu_mib,ratio,bit_exact,notes
window2_uncompressed,3,27.87,278.37,9.99,0.2958,0.4978,1408,1.000,identical_trajectory,Luke's branch; e0 acc matches old exactly
window4_uncompressed,3,28.38,278.37,9.81,0.2281,0.4252,1750,1.000,diff_alignment,window=4 same speed; different tiling so not bit-identical to old
