size_gib,baseline_method,baseline_inertia,eternia_inertia,abs_delta,pct_delta
8,traditional_incore,24654915.4,24644268.2,10647.2,0.0432
16,traditional_incore,49302317.0,49281021.5,21295.5,0.0432
32,traditional_incore,98616773.0,98574184.7,42588.3,0.0432
48,staged,147927338.8,147863455.3,63883.5,0.0432
64,staged,197238977.2,197153798.3,85178.9,0.0432
96,staged,295853385.3,295725616.4,127768.9,0.0432
