points,dims,clusters,ratio,inertia_baseline,inertia_compressed,inertia_gap_pct,centroids_within_0.05,pct_within_0.05,drift_median,drift_p90,drift_worst
131072,128,256,3.36,116333.10,116225.41,0.09,237,92.6,0.01745,0.04511,0.17681
999424,128,256,3.36,894473.60,893638.67,0.093,256,100.0,0.00393,0.00785,0.01780
